Label/FeatureName,#total,#external,#internal,#transient
ERROR_BUFFERLEN,1,0,0,1
__WORDSIZE,1,1,0,0
PRIu64,1,0,0,1
HAVE_BYTESWAP_H,1,1,0,0
WITH_BLOWFISH_CIPHER,1,1,0,0
POLLRDBAND,1,0,0,1
WORDS_BIGENDIAN,1,1,0,0
HAVE_LIBGCRYPT,1,1,0,0
HAVE_LIBUTIL_H,1,1,0,0
HAVE_OPENSSL_FIPS_MODE,1,1,0,0
__CYGWIN__,1,1,0,0
__hpux,1,1,0,0
PRIx32,1,0,0,1
HAVE_CURVE25519,1,0,1,0
HAVE_ARPA_INET_H,1,1,0,0
KBDINT_MAX_PROMPT,1,0,0,1
HAVE_OPENSSL_ECDSA_H,1,1,0,0
_WIN32,1,1,0,0
bswap_32,1,0,0,1
HAVE__SNPRINTF,1,1,0,0
HAVE_TERMIOS_H,1,1,0,0
socket_t,1,1,0,0
HAVE_HTONLL,1,1,0,0
POLLOUT,1,0,0,1
POLLNVAL,1,0,0,1
LIBSSH_STATIC,1,1,0,0
HAVE_NTOHLL,1,1,0,0
SSH_NO_CPP_EXCEPTIONS,1,0,1,0
POLLIN,1,0,0,1
PRIx64,1,0,0,1
WITH_SFTP,1,1,0,0
HAVE_UTMP_H,1,1,0,0
HAVE___STRTOULL,1,1,0,0
HAVE_GCC_THREAD_LOCAL_STORAGE,1,1,0,0
MIN,1,0,0,1
HAVE_VSNPRINTF,1,1,0,0
POLLERR,1,0,0,1
HAVE_ISBLANK,1,1,0,0
_BLF_H_,1,0,1,0
UNUSED_PARAM,1,0,0,1
KEYS_H_,1,0,1,0
HAVE_ARGP_H,1,1,0,0
HAVE_GCC_BOUNDED_ATTRIBUTE,1,1,0,0
MAX_BUF_SIZE,1,0,0,1
HAVE_OPENSSL_ECC,1,1,0,0
__OS2__,1,1,0,0
MAX,1,0,0,1
FALL_THROUGH,1,0,0,1
MD5_DIGEST_LEN,1,0,0,1
WITH_PCAP,1,1,0,0
OPENSSL_0_9_7b,1,0,1,0
MAX_PACKAT_LEN,1,1,0,0
WITH_NACL,1,1,0,0
CLIENT_BANNER_SSH2,1,0,0,1
HAVE_GCRYPT_ECC,1,1,0,0
POLLWRBAND,1,0,0,1
UNUSED_VAR,1,0,0,1
HAVE_EXPLICIT_BZERO,1,1,0,0
HAVE_LIBCRYPTO,1,1,0,0
HAVE_UNISTD_H,1,1,0,0
PTHREAD_ERRORCHECK_MUTEX_INITIALIZER_NP,1,1,0,0
HAVE_CFMAKERAW,1,1,0,0
HAVE_PTY_H,1,1,0,0
HAVE__VSNPRINTF_S,1,1,0,0
WITH_SERVER,1,1,0,0
HAVE_COMPILER__FUNCTION__,1,1,0,0
gid_t,1,1,0,0
_LIBSSH_PRIV_H,1,0,1,0
HAVE__SNPRINTF_S,1,1,0,0
CHACHA20_POLY1305_H,1,0,1,0
__LP64__,1,1,0,0
HAVE_BLH_H,1,1,0,0
POLLPRI,1,0,0,1
POLLRDNORM,1,0,0,1
__attr_unused__,1,0,0,1
PKI_H_,1,0,1,0
HAVE_FALLTHROUGH_ATTRIBUTE,1,1,0,0
va_copy,1,0,0,1
HAVE_ECC,1,1,0,0
HAVE_OPENSSL_ECDH_H,1,1,0,0
LIBSSH_LEGACY_0_4,1,0,1,0
HAVE_UNUSED_ATTRIBUTE,1,1,0,0
HAVE_OPENSSL_EC_H,1,1,0,0
HAVE_POLL,1,1,0,0
HAVE_PTHREAD,1,1,0,0
__cplusplus,1,1,0,0
KEYS_FOLDER,1,0,0,1
HAVE_SNPRINTF,1,1,0,0
HAVE__STRTOUI64,1,1,0,0
HAVE_UTIL_H,1,1,0,0
uid_t,1,1,0,0
WITH_GEX,1,1,0,0
HAVE_BCRYPT_PBKDF,1,1,0,0
__GNUC__,1,1,0,0
_MSC_VER,1,1,0,0
MBEDTLS_GCM_C,1,1,0,0
OPENSSL_VERSION_NUMBER,1,1,0,0
HAVE_OPENSSL_ED25519,1,1,0,0
HAVE_LIBMBEDCRYPTO,1,1,0,0
cbc_decrypt,1,0,0,1
_LIBSSH_H,1,0,1,0
POLLWRNORM,1,0,0,1
PRIdS,1,0,0,1
HAVE_GCC_VOLATILE_MEMORY_PROTECTION,1,1,0,0
cbc_encrypt,1,0,0,1
HAVE_ECDH,1,0,1,0
PRIu32,1,0,0,1
HAVE_STRTOULL,1,1,0,0
LIBSSH_EXPORTS,1,1,0,0
BASE,1,1,0,0
LIBCRYPTO_H_,1,0,1,0
POLLHUP,1,0,0,1
HAVE_COMPILER__FUNC__,1,1,0,0
HAVE_STRNDUP,1,1,0,0
STRING_H_,1,0,1,0
HAVE__VSNPRINTF,1,1,0,0
_SSIZE_T_DEFINED,1,0,0,1
HAVE_MSC_THREAD_LOCAL_STORAGE,1,1,0,0
THREADS_H_,1,0,1,0
EVP_MAX_MD_SIZE,1,0,0,1
